遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12 
雙贏彩,112000147,2023/06/21,1973550,39471,400700,01,03,07,10,12,13,14,18,19,22,23,24
雙贏彩,112000148,2023/06/22,1626550,32531,757900,03,04,06,09,12,13,14,17,18,19,21,23
雙贏彩,112000149,2023/06/23,1568700,31374,244200,03,04,05,06,10,12,13,16,19,20,22,23
雙贏彩,112000150,2023/06/24,1909100,38182,495300,01,05,08,09,14,15,16,17,18,19,20,22
雙贏彩,112000151,2023/06/26,1781550,35631,366600,04,05,06,07,10,15,16,17,18,21,23,24
雙贏彩,112000152,2023/06/27,1581350,31627,654900,01,02,04,07,08,09,10,13,15,16,22,24
雙贏彩,112000153,2023/06/28,1944300,38886,780000,04,05,06,07,08,09,10,13,19,21,23,24
雙贏彩,112000154,2023/06/29,1615400,32308,266800,01,02,04,05,06,08,11,12,13,19,23,24
雙贏彩,112000155,2023/06/30,1619100,32382,646000,01,02,05,06,07,10,12,14,15,16,20,24
雙贏彩,112000156,2023/07/01,1965900,39318,807800,01,02,05,06,11,15,16,17,19,20,21,22
雙贏彩,112000157,2023/07/03,1778150,35563,373100,04,05,08,09,12,13,14,16,18,19,22,24
雙贏彩,112000158,2023/07/04,1606200,32124,700600,03,05,06,07,09,10,15,16,17,18,20,21
雙贏彩,112000159,2023/07/05,1963300,39266,583600,02,03,04,05,07,11,13,17,20,21,22,24
雙贏彩,112000160,2023/07/06,1644450,32889,351800,01,02,04,05,07,08,10,11,15,18,19,20
雙贏彩,112000161,2023/07/07,1633050,32661,856000,06,08,09,10,11,16,18,19,21,22,23,24
雙贏彩,112000162,2023/07/08,1950000,39000,570300,02,03,04,05,09,11,13,16,17,18,19,23
雙贏彩,112000163,2023/07/10,1770450,35409,367900,01,02,03,09,11,13,15,16,20,21,23,24
雙贏彩,112000164,2023/07/11,1597500,31950,358700,01,02,03,05,08,09,11,14,16,18,21,23
雙贏彩,112000165,2023/07/12,1951800,39036,596200,02,04,05,06,07,12,14,15,18,22,23,24
雙贏彩,112000166,2023/07/13,1622850,32457,757700,01,04,06,09,12,13,14,17,19,20,22,23
雙贏彩,112000167,2023/07/14,1623950,32479,660200,02,03,05,07,09,11,12,16,18,19,20,21
雙贏彩,112000168,2023/07/15,1961800,39236,400700,01,03,06,08,09,10,11,13,17,19,21,24
雙贏彩,112000169,2023/07/17,1742100,34842,577700,01,02,04,07,09,11,12,14,16,18,19,23
雙贏彩,112000170,2023/07/18,1542800,30856,451700,04,05,07,08,10,11,12,15,16,19,20,21
雙贏彩,112000171,2023/07/19,1924750,38495,589600,01,03,04,08,12,17,18,19,20,21,22,24
雙贏彩,112000172,2023/07/20,1607850,32157,766700,01,04,05,07,09,11,12,14,16,17,20,21
