遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12 
雙贏彩,110000142,2021/06/15,1947000,38940,615600,01,02,04,05,06,11,12,13,14,18,19,20
雙贏彩,110000143,2021/06/16,2320750,46415,848800,02,03,04,05,06,08,09,12,15,16,22,23
雙贏彩,110000144,2021/06/17,1963300,39266,581500,01,02,03,06,07,08,12,14,15,18,19,24
雙贏彩,110000145,2021/06/18,2002350,40047,378400,01,04,09,10,12,16,17,18,19,20,21,24
雙贏彩,110000146,2021/06/19,2367700,47354,438800,01,05,06,07,15,16,17,18,19,20,23,24
雙贏彩,110000147,2021/06/21,2040250,40805,506800,02,06,08,09,11,12,15,17,18,19,20,24
雙贏彩,110000148,2021/06/22,1764850,35297,769000,03,07,08,11,13,14,15,18,19,20,23,24
雙贏彩,110000149,2021/06/23,2306250,46125,507600,02,04,05,07,11,12,13,14,15,17,22,24
雙贏彩,110000150,2021/06/24,1920300,38406,687400,02,03,04,10,11,16,18,19,20,21,22,23
雙贏彩,110000151,2021/06/25,1958050,39161,548800,01,03,05,06,07,08,09,12,14,18,23,24
雙贏彩,110000152,2021/06/26,2470700,49414,787200,05,06,07,08,09,10,13,14,16,17,18,22
雙贏彩,110000153,2021/06/28,2092550,41851,644200,01,02,03,04,05,06,08,09,12,17,19,22
雙贏彩,110000154,2021/06/29,1914450,38289,694600,01,02,04,06,07,14,15,16,18,19,22,24
雙贏彩,110000155,2021/06/30,2459950,49199,724700,01,02,03,04,06,08,10,11,15,16,17,21
雙贏彩,110000156,2021/07/01,2041000,40820,608800,01,03,09,10,12,13,15,17,21,22,23,24
雙贏彩,110000157,2021/07/02,2047450,40949,799500,01,02,03,04,06,08,13,15,18,20,23,24
雙贏彩,110000158,2021/07/03,2486000,49720,350100,01,03,05,06,08,09,15,16,17,18,20,22
雙贏彩,110000159,2021/07/05,2203050,44061,893200,01,04,05,08,09,10,11,14,15,20,21,22
雙贏彩,110000160,2021/07/06,1990250,39805,489200,01,03,04,05,07,12,13,15,16,18,23,24
雙贏彩,110000161,2021/07/07,2473400,49468,1028400,01,03,04,10,11,12,17,19,20,21,22,23
雙贏彩,110000162,2021/07/08,2070500,41410,491100,01,04,05,06,09,11,14,16,17,20,21,23
