遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4
4星彩,113000160,2024/07/04,4088150,163526,1118500,9,4,0,5
4星彩,113000161,2024/07/05,4205200,168208,1848500,8,0,3,5
4星彩,113000162,2024/07/06,4235750,169430,2357500,3,5,5,2
4星彩,113000163,2024/07/08,4423100,176924,933000,6,0,3,4
4星彩,113000164,2024/07/09,3977900,159116,1683500,2,2,0,5
4星彩,113000165,2024/07/10,4129550,165182,1663000,9,3,6,1
4星彩,113000166,2024/07/11,4367200,174688,2746500,1,9,8,2
4星彩,113000167,2024/07/12,4283225,171329,1946000,2,9,9,3
4星彩,113000168,2024/07/13,4078575,163143,1950000,5,7,9,8
4星彩,113000169,2024/07/15,4282775,171311,2433000,6,9,3,8
4星彩,113000170,2024/07/16,3960175,158407,2095000,8,6,7,1
4星彩,113000171,2024/07/17,4046125,161845,2045000,4,3,7,2
4星彩,113000172,2024/07/18,3966600,158664,1340500,0,5,5,6
4星彩,113000173,2024/07/19,3958725,158349,1292500,6,4,3,2
4星彩,113000174,2024/07/20,4071275,162851,2111000,5,9,6,7
4星彩,113000175,2024/07/22,4201925,168077,1486000,4,1,7,9
4星彩,113000176,2024/07/23,3791500,151660,1549000,3,9,4,1
4星彩,113000177,2024/07/24,2847525,113901,1336000,4,9,3,5
4星彩,113000178,2024/07/25,2715000,108600,1132000,6,0,7,0
4星彩,113000179,2024/07/26,3500850,140034,2461000,0,5,5,6
4星彩,113000180,2024/07/27,3957675,158307,3942500,0,2,5,0
4星彩,113000181,2024/07/29,4248450,169938,2712500,9,9,5,7
4星彩,113000182,2024/07/30,3817925,152717,1455500,6,4,9,5
4星彩,113000183,2024/07/31,3966875,158675,1626500,8,0,0,6
4星彩,113000184,2024/08/01,4040850,161634,1640000,3,1,6,2
4星彩,113000185,2024/08/02,4086075,163443,1449000,2,6,7,9
4星彩,113000186,2024/08/03,3981625,159265,2977500,3,9,3,3
4星彩,113000187,2024/08/05,4380725,175229,2539000,2,7,3,5
4星彩,113000188,2024/08/06,3997125,159885,3144000,6,1,2,1
4星彩,113000189,2024/08/07,4128550,165142,4739000,0,9,2,2
4星彩,113000190,2024/08/08,4338025,173521,1756000,9,1,8,1
4星彩,113000191,2024/08/09,4144925,165797,3458500,3,7,3,9
4星彩,113000192,2024/08/10,4203975,168159,3216500,2,7,3,7
4星彩,113000193,2024/08/12,4468925,178757,1648500,2,3,8,7
4星彩,113000194,2024/08/13,4066875,162675,2391500,3,8,2,4
4星彩,113000195,2024/08/14,4189525,167581,2778000,2,5,2,3
4星彩,113000196,2024/08/15,4052700,162108,3525000,1,9,8,3
4星彩,113000197,2024/08/16,4090650,163626,1303500,8,9,5,4
4星彩,113000198,2024/08/17,4137175,165487,1931500,9,1,7,6
4星彩,113000199,2024/08/19,4252875,170115,1724500,7,3,7,9
4星彩,113000200,2024/08/20,3865025,154601,1948500,1,5,5,3
4星彩,113000201,2024/08/21,4056750,162270,821000,4,8,7,4
4星彩,113000202,2024/08/22,3886600,155464,3346000,7,2,5,8
4星彩,113000203,2024/08/23,4053850,162154,1864000,8,2,5,2
4星彩,113000204,2024/08/24,3988050,159522,1641000,2,8,4,6
4星彩,113000205,2024/08/26,4294350,171774,2578500,7,5,8,1
4星彩,113000206,2024/08/27,3964050,158562,1938000,9,4,2,3
4星彩,113000207,2024/08/28,3993725,159749,7154500,9,8,2,8
4星彩,113000208,2024/08/29,4028100,161124,2662500,0,5,2,4
4星彩,113000209,2024/08/30,4143875,165755,3087500,9,6,6,7
4星彩,113000210,2024/08/31,4116900,164676,1844000,9,5,4,3
4星彩,113000211,2024/09/02,4377925,175117,2131000,5,5,0,8
4星彩,113000212,2024/09/03,4039100,161564,3284000,9,1,1,8
4星彩,113000213,2024/09/04,4122175,164887,1832500,5,2,9,5
4星彩,113000214,2024/09/05,4104525,164181,1307000,2,7,9,7
4星彩,113000215,2024/09/06,4371400,174856,1768000,0,5,0,1
4星彩,113000216,2024/09/07,4120250,164810,1321000,9,6,8,4
4星彩,113000217,2024/09/09,4367625,174705,2824500,4,5,9,8
4星彩,113000218,2024/09/10,4080375,163215,1663000,6,8,8,3
4星彩,113000219,2024/09/11,4178400,167136,1239000,2,9,0,2
4星彩,113000220,2024/09/12,4041725,161669,5746500,2,2,2,8
4星彩,113000221,2024/09/13,4226300,169052,4490500,1,2,3,6
4星彩,113000222,2024/09/14,4020600,160824,1601000,8,8,6,0
4星彩,113000223,2024/09/16,4560825,182433,2461000,0,7,3,3
4星彩,113000224,2024/09/17,4139575,165583,1151000,4,5,6,1
4星彩,113000225,2024/09/18,3971000,158840,2773500,0,2,6,5
4星彩,113000226,2024/09/19,3898850,155954,2089500,1,5,7,8
4星彩,113000227,2024/09/20,4122500,164900,3992500,6,3,8,8
4星彩,113000228,2024/09/21,3901950,156078,1903500,9,7,6,6
4星彩,113000229,2024/09/23,5388225,215529,2454500,9,3,0,0
4星彩,113000230,2024/09/24,5035150,201406,2621000,3,5,8,3
4星彩,113000231,2024/09/25,5142000,205680,1794500,6,1,4,6
4星彩,113000232,2024/09/26,4996000,199840,3024000,4,5,5,2
4星彩,113000233,2024/09/27,5066450,202658,6158000,5,6,5,8
4星彩,113000234,2024/09/28,5074175,202967,2880000,8,8,0,9
4星彩,113000235,2024/09/30,5344525,213781,4978000,2,0,2,2
4星彩,113000236,2024/10/01,5043500,201740,15322500,5,1,6,8
4星彩,113000237,2024/10/02,4459000,178360,1605500,8,4,4,5
4星彩,113000238,2024/10/03,4141250,165650,1247000,0,4,7,4
4星彩,113000239,2024/10/04,4932925,197317,4427500,2,6,1,5
4星彩,113000240,2024/10/05,5175975,207039,3127000,5,0,9,8
4星彩,113000241,2024/10/07,5554700,222188,3580500,1,5,0,8
4星彩,113000242,2024/10/08,5098100,203924,1642000,5,9,4,3
4星彩,113000243,2024/10/09,5357925,214317,6943500,4,6,2,1
4星彩,113000244,2024/10/10,5389050,215562,1780500,3,4,3,4
4星彩,113000245,2024/10/11,5657500,226300,3336500,9,3,6,4
4星彩,113000246,2024/10/12,5950350,238014,3759500,8,6,1,5
4星彩,113000247,2024/10/14,4693325,187733,1448500,9,5,4,6
4星彩,113000248,2024/10/15,4168550,166742,2628500,7,8,2,2
4星彩,113000249,2024/10/16,4341050,173642,2031000,6,0,9,6
4星彩,113000250,2024/10/17,4303675,172147,1620000,6,4,4,2
4星彩,113000251,2024/10/18,4354075,174163,2421500,6,2,9,7
4星彩,113000252,2024/10/19,4312775,172511,2993500,3,7,6,6
4星彩,113000253,2024/10/21,4590675,183627,2384500,5,7,8,3
4星彩,113000254,2024/10/22,4111675,164467,4359500,3,9,3,3
4星彩,113000255,2024/10/23,4174675,166987,3002000,2,2,3,8
4星彩,113000256,2024/10/24,4143975,165759,3077500,1,0,8,0
4星彩,113000257,2024/10/25,4256500,170260,2677500,7,8,8,6
4星彩,113000258,2024/10/26,4264225,170569,1657500,1,1,6,0
4星彩,113000259,2024/10/28,4526525,181061,2351500,4,1,2,0
4星彩,113000260,2024/10/29,4190550,167622,1624500,3,1,4,2
4星彩,113000261,2024/10/30,4080900,163236,2249000,1,9,2,0
4星彩,113000262,2024/10/31,2876725,115069,1611000,7,0,3,4
4星彩,113000263,2024/11/01,4141075,165643,2461500,4,4,8,8
4星彩,113000264,2024/11/02,4346450,173858,2396500,2,4,2,2
4星彩,113000265,2024/11/04,4692775,187711,1452500,5,9,4,4
4星彩,113000266,2024/11/05,4322550,172902,3628000,0,2,9,8
4星彩,113000267,2024/11/06,4338725,173549,2026000,6,3,9,8
4星彩,113000268,2024/11/07,4329000,173160,2018000,8,7,7,2
4星彩,113000269,2024/11/08,4371025,174841,2703500,7,5,2,6
4星彩,113000270,2024/11/09,4286800,171472,1416500,6,0,0,4
4星彩,113000271,2024/11/11,4809925,192397,3321000,2,0,1,5
4星彩,113000272,2024/11/12,4179225,167169,2597500,0,2,2,3
4星彩,113000273,2024/11/13,4364200,174568,4572500,1,9,2,0
4星彩,113000274,2024/11/14,4360275,174411,2899000,9,3,6,0
4星彩,113000275,2024/11/15,4432175,177287,1928500,4,8,8,6
4星彩,113000276,2024/11/16,4330100,173204,753500,7,9,4,1
4星彩,113000277,2024/11/18,4446375,177855,1414000,0,6,6,2
4星彩,113000278,2024/11/19,4101125,164045,2395500,1,6,5,7
4星彩,113000279,2024/11/20,4259100,170364,4295000,8,5,3,9
4星彩,113000280,2024/11/21,4180725,167229,1265000,5,3,4,7
4星彩,113000281,2024/11/22,4259700,170388,2755500,2,6,8,5
4星彩,113000282,2024/11/23,4226800,169072,2890000,3,3,5,7
4星彩,113000283,2024/11/25,4699750,187990,1958000,7,8,6,1
4星彩,113000284,2024/11/26,4097775,163911,1283000,0,2,5,4
4星彩,113000285,2024/11/27,4217125,168685,2328500,5,0,3,5
4星彩,113000286,2024/11/28,4210275,168411,1972500,7,5,5,0
4星彩,113000287,2024/11/29,4304400,172176,1155500,4,7,4,7
4星彩,113000288,2024/11/30,4393725,175749,1552500,7,5,4,7
4星彩,113000289,2024/12/2,4588175,183527,2101500,4,7,2,4
4星彩,113000290,2024/12/3,4255375,170215,3133500,5,9,6,5
4星彩,113000291,2024/12/4,4286125,171445,2081000,6,6,4,8
4星彩,113000292,2024/12/5,4348075,173923,3083000,8,8,5,5
4星彩,113000293,2024/12/6,4581150,183246,2148500,9,8,0,7
4星彩,113000294,2024/12/7,4381025,175241,1299500,9,4,3,4
4星彩,113000295,2024/12/9,4705825,188233,2767000,4,0,0,8
4星彩,113000296,2024/12/10,4323325,172933,3136500,3,3,7,7
4星彩,113000297,2024/12/11,4610325,184413,2976500,5,0,1,3
4星彩,113000298,2024/12/12,4434325,177373,858500,0,1,7,4
4星彩,113000299,2024/12/13,4405225,176209,2578000,9,5,8,9
4星彩,113000300,2024/12/14,4231325,169253,2069000,3,5,9,5
4星彩,113000301,2024/12/16,4569100,182764,1141500,7,6,0,4
4星彩,113000302,2024/12/17,4093925,163757,1248500,7,7,1,4
4星彩,113000303,2024/12/18,4298675,171947,1641000,0,9,6,2
4星彩,113000304,2024/12/19,4065800,162632,3351500,6,5,1,2
4星彩,113000305,2024/12/20,4285475,171419,1801000,7,2,0,1
4星彩,113000306,2024/12/21,4218825,168753,2169000,6,1,0,9
4星彩,113000307,2024/12/23,4129550,165182,3157500,2,7,7,7
4星彩,113000308,2024/12/24,4156175,166247,1725500,9,4,1,2
4星彩,113000309,2024/12/25,4320425,172817,2263000,1,6,8,1
4星彩,113000310,2024/12/26,4311425,172457,1472500,5,1,3,4
4星彩,113000311,2024/12/27,4250975,170039,2702500,6,5,8,1
4星彩,113000312,2024/12/28,4114925,164597,874000,3,8,0,4
4星彩,113000313,2024/12/30,4507100,180284,2006000,6,7,9,7
4星彩,113000314,2024/12/31,4463975,178559,2354500,1,6,6,7
