遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5
今彩539,113000169,2024/07/15,37425950,748519,32520700,1,19,22,25,37
今彩539,113000170,2024/07/16,33173100,663462,9595150,7,24,26,34,36
今彩539,113000171,2024/07/17,35885300,717706,17264250,8,10,26,28,37
今彩539,113000172,2024/07/18,32748500,654970,32297300,5,17,24,33,34
今彩539,113000173,2024/07/19,34271650,685433,16053450,14,19,24,30,36
今彩539,113000174,2024/07/20,35867800,717356,11962700,1,11,27,29,31
今彩539,113000175,2024/07/22,37539150,750783,25062900,6,20,26,30,34
今彩539,113000176,2024/07/23,32084550,641691,25856200,7,11,12,37,38
今彩539,113000177,2024/07/24,23770050,475401,23439100,2,3,21,23,34
今彩539,113000178,2024/07/25,21356650,427133,7288500,1,9,17,18,39
今彩539,113000179,2024/07/26,29992900,599858,15777950,11,12,18,20,36
今彩539,113000180,2024/07/27,36782950,735659,24721450,1,11,15,18,37
今彩539,113000181,2024/07/29,37907150,758143,10030050,1,12,14,24,30
今彩539,113000182,2024/07/30,32379500,647590,25225150,2,4,16,29,38
今彩539,113000183,2024/07/31,35509450,710189,17249550,12,18,36,37,38
今彩539,113000184,2024/08/01,34011850,680237,8423300,12,24,27,30,35
今彩539,113000185,2024/08/02,34701950,694039,7680650,1,19,22,24,38
今彩539,113000186,2024/08/03,36576800,731536,9978600,11,12,26,27,32
今彩539,113000187,2024/08/05,38771200,775424,11506500,6,7,11,17,36
今彩539,113000188,2024/08/06,33909550,678191,19316250,1,6,12,29,37
今彩539,113000189,2024/08/07,38372550,767451,9941200,4,5,16,19,30
今彩539,113000190,2024/08/08,35609400,712188,26347450,2,9,13,19,28
今彩539,113000191,2024/08/09,34942300,698846,38581550,2,7,8,10,12
今彩539,113000192,2024/08/10,37491250,749825,35674050,1,21,28,38,39
今彩539,113000193,2024/08/12,39334450,786689,11188600,8,12,24,28,34
今彩539,113000194,2024/08/13,34468100,689362,16969850,9,15,20,28,32
今彩539,113000195,2024/08/14,36627400,732548,16333800,6,9,24,30,34
今彩539,113000196,2024/08/15,33386450,667729,8820150,7,14,20,27,39
今彩539,113000197,2024/08/16,34562550,691251,8575450,9,17,18,32,35
今彩539,113000198,2024/08/17,36915950,738319,24073900,6,14,32,33,36
今彩539,113000199,2024/08/19,36764350,735287,17669050,2,9,12,16,36
今彩539,113000200,2024/08/20,32551500,651030,8037650,7,28,30,34,39
今彩539,113000201,2024/08/21,37118100,742362,20008250,1,2,12,13,22
今彩539,113000202,2024/08/22,34049950,680999,16470850,2,8,16,34,37
今彩539,113000203,2024/08/23,34456850,689137,33151400,9,11,30,34,39
今彩539,113000204,2024/08/24,36264650,725293,26747400,25,26,28,29,37
今彩539,113000205,2024/08/26,38184050,763681,11277000,5,9,11,23,33
今彩539,113000206,2024/08/27,33707200,674144,7407850,5,13,21,34,35
今彩539,113000207,2024/08/28,36414850,728297,24252100,6,16,34,35,36
今彩539,113000208,2024/08/29,32902750,658055,7531300,4,21,26,29,36
今彩539,113000209,2024/08/30,34052950,681059,7954600,3,5,14,22,36
今彩539,113000210,2024/08/31,35452400,709048,17109200,9,15,21,36,37
今彩539,113000211,2024/09/02,36480150,729603,17090700,16,20,24,31,37
今彩539,113000212,2024/09/03,33242000,664840,8212600,11,14,19,23,24
今彩539,113000213,2024/09/04,35407550,708151,24929650,9,26,27,31,35
今彩539,113000214,2024/09/05,32424500,648490,8162600,10,13,27,32,37
今彩539,113000215,2024/09/06,33672050,673441,16253400,14,27,31,36,39
今彩539,113000216,2024/09/07,35456350,709127,21048050,5,9,28,36,38
今彩539,113000217,2024/09/09,37103700,742074,35952750,5,16,17,36,37
今彩539,113000218,2024/09/10,34584300,691686,41822050,6,34,35,36,39
今彩539,113000219,2024/09/11,38052850,761057,26537400,5,8,14,20,26
今彩539,113000220,2024/09/12,34554250,691085,9946050,3,8,13,27,33
今彩539,113000221,2024/09/13,35797150,715943,32835950,6,8,25,37,39
今彩539,113000222,2024/09/14,35415050,708301,8171550,3,29,34,35,37
今彩539,113000223,2024/09/16,40285650,805713,30315100,12,15,18,19,26
今彩539,113000224,2024/09/17,35856450,717129,18242300,7,9,31,38,39
今彩539,113000225,2024/09/18,35595350,711907,11330050,2,9,16,18,23
今彩539,113000226,2024/09/19,33507200,670144,8148000,16,19,22,26,37
今彩539,113000227,2024/09/20,35654850,713097,8667400,4,7,30,32,38
今彩539,113000228,2024/09/21,33005650,660113,7843350,9,22,25,35,39
今彩539,113000229,2024/09/23,35750750,715015,16782250,4,12,14,17,35
今彩539,113000230,2024/09/24,34244950,684899,15723850,4,10,19,30,31
今彩539,113000231,2024/09/25,36456400,729128,26917550,2,5,10,12,37
今彩539,113000232,2024/09/26,33548100,670962,34506100,4,6,14,16,20
今彩539,113000233,2024/09/27,34771800,695436,25809600,3,27,34,37,39
今彩539,113000234,2024/09/28,36474100,729482,8402550,10,20,24,35,39
今彩539,113000235,2024/09/30,37764500,755290,26117850,7,10,24,27,31
今彩539,113000236,2024/10/01,33343000,666860,6942250,20,23,30,31,35
今彩539,113000237,2024/10/02,29771850,595437,7640450,7,8,13,22,34
今彩539,113000238,2024/10/03,25210200,504204,6463500,1,6,15,19,39
