遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5
39樂合彩,113000141,2024/06/12,31013225,1240529,9431875,14,19,20,29,32
39樂合彩,113000142,2024/06/13,29969350,1198774,12585125,3,12,17,30,38
39樂合彩,113000143,2024/06/14,28434300,1137372,16042125,1,2,17,20,37
39樂合彩,113000144,2024/06/15,31400225,1256009,27302125,5,8,35,36,37
39樂合彩,113000145,2024/06/17,31230350,1249214,8854875,2,8,26,32,34
39樂合彩,113000146,2024/06/18,26746825,1069873,11765250,2,9,15,29,38
39樂合彩,113000147,2024/06/19,29046225,1161849,21261000,2,10,11,14,22
39樂合彩,113000148,2024/06/20,29051525,1162061,31457750,12,13,16,20,32
39樂合彩,113000149,2024/06/21,28297625,1131905,11921625,10,12,15,16,23
39樂合彩,113000150,2024/06/22,29776250,1191050,26246500,1,21,22,25,27
39樂合彩,113000151,2024/06/24,30132375,1205295,15848625,3,13,17,32,39
39樂合彩,113000152,2024/06/25,26545650,1061826,15843125,25,26,32,36,37
39樂合彩,113000153,2024/06/26,29257050,1170282,16398875,2,21,37,38,39
39樂合彩,113000154,2024/06/27,28490200,1139608,21159750,15,18,27,28,31
39樂合彩,113000155,2024/06/28,27590775,1103631,10320500,12,16,25,27,39
39樂合彩,113000156,2024/06/29,29967525,1198701,25010875,2,17,26,33,35
39樂合彩,113000157,2024/07/01,30563425,1222537,21263625,8,11,17,19,23
39樂合彩,113000158,2024/07/02,27360800,1094432,17918375,3,15,16,20,22
39樂合彩,113000159,2024/07/03,30447750,1217910,14520250,4,20,25,33,34
39樂合彩,113000160,2024/07/04,28955875,1158235,9511375,9,12,15,26,33
39樂合彩,113000161,2024/07/05,28224450,1128978,17124125,17,18,23,24,28
39樂合彩,113000162,2024/07/06,30696575,1227863,9173125,4,21,24,33,35
39樂合彩,113000163,2024/07/08,30310675,1212427,19637125,11,17,20,22,29
39樂合彩,113000164,2024/07/09,27476925,1099077,13584125,2,13,31,33,36
39樂合彩,113000165,2024/07/10,30937225,1237489,11928125,1,9,14,31,33
39樂合彩,113000166,2024/07/11,30324850,1212994,11238375,1,2,13,23,37
39樂合彩,113000167,2024/07/12,28125625,1125025,15536750,8,17,18,19,36
39樂合彩,113000168,2024/07/13,29842425,1193697,13012500,16,21,23,29,30
39樂合彩,113000169,2024/07/15,30252750,1210110,15599625,1,19,22,25,37
39樂合彩,113000170,2024/07/16,26394750,1055790,20411125,7,24,26,34,36
39樂合彩,113000171,2024/07/17,29306800,1172272,11963125,8,10,26,28,37
39樂合彩,113000172,2024/07/18,28164300,1126572,12843375,5,17,24,33,34
39樂合彩,113000173,2024/07/19,26649875,1065995,9179875,14,19,24,30,36
39樂合彩,113000174,2024/07/20,28980850,1159234,26004125,1,11,27,29,31
39樂合彩,113000175,2024/07/22,29711875,1188475,15272625,6,20,26,30,34
39樂合彩,113000176,2024/07/23,25018275,1000731,18182375,7,11,12,37,38
39樂合彩,113000177,2024/07/24,20412850,816514,14999750,2,3,21,23,34
39樂合彩,113000178,2024/07/25,19213400,768536,16879000,1,9,17,18,39
39樂合彩,113000179,2024/07/26,23977050,959082,9059500,11,12,18,20,36
39樂合彩,113000180,2024/07/27,28803650,1152146,9885375,1,11,15,18,37
39樂合彩,113000181,2024/07/29,28665250,1146610,10230625,1,12,14,24,30
39樂合彩,113000182,2024/07/30,24882250,995290,14948125,2,4,16,29,38
39樂合彩,113000183,2024/07/31,27560875,1102435,15682375,12,18,36,37,38
39樂合彩,113000184,2024/08/01,27940575,1117623,12406125,12,24,27,30,35
39樂合彩,113000185,2024/08/02,26858925,1074357,8566875,1,19,22,24,38
39樂合彩,113000186,2024/08/03,29205150,1168206,18264375,11,12,26,27,32
39樂合彩,113000187,2024/08/05,30648325,1225933,17358500,6,7,11,17,36
39樂合彩,113000188,2024/08/06,27012000,1080480,25572500,1,6,12,29,37
39樂合彩,113000189,2024/08/07,30579825,1223193,13354625,4,5,16,19,30
39樂合彩,113000190,2024/08/08,29679000,1187160,18017125,2,9,13,19,28
39樂合彩,113000191,2024/08/09,28071400,1122856,27624375,2,7,8,10,12
39樂合彩,113000192,2024/08/10,31632275,1265291,26398875,1,21,28,38,39
39樂合彩,113000193,2024/08/12,32097950,1283918,18238750,8,12,24,28,34
39樂合彩,113000194,2024/08/13,28090900,1123636,10678250,9,15,20,28,32
39樂合彩,113000195,2024/08/14,30318650,1212746,9457500,6,9,24,30,34
39樂合彩,113000196,2024/08/15,29220250,1168810,12785500,7,14,20,27,39
39樂合彩,113000197,2024/08/16,27627700,1105108,13798625,9,17,18,32,35
39樂合彩,113000198,2024/08/17,30519050,1220762,12213375,6,14,32,33,36
39樂合彩,113000199,2024/08/19,29536425,1181457,11378125,2,9,12,16,36
39樂合彩,113000200,2024/08/20,25815125,1032605,10486625,7,28,30,34,39
39樂合彩,113000201,2024/08/21,29042875,1161715,19906000,1,2,12,13,22
39樂合彩,113000202,2024/08/22,27961200,1118448,9604000,2,8,16,34,37
39樂合彩,113000203,2024/08/23,26754375,1070175,12028125,9,11,30,34,39
39樂合彩,113000204,2024/08/24,29163425,1166537,19519375,25,26,28,29,37
39樂合彩,113000205,2024/08/26,29394625,1175785,14897125,5,9,11,23,33
39樂合彩,113000206,2024/08/27,25975475,1039019,9532000,5,13,21,34,35
39樂合彩,113000207,2024/08/28,27721850,1108874,13379125,6,16,34,35,36
39樂合彩,113000208,2024/08/29,27289575,1091583,9274375,4,21,26,29,36
39樂合彩,113000209,2024/08/30,26137300,1045492,9428500,3,5,14,22,36
